node,community,weighted_degree,betweenness
user_11489,0,127.0,0.0009951738567612835
user_1596,1,36144.0,0.3116906685112121
user_22984,0,279.0,0.0041886106415425775
user_30648,2,213.0,0.0008148954828626839
user_31241,3,584.0,0.010300177711842896
user_13879,1,52.0,0.0001492055577985188
user_25507,4,50.0,0.00019111046717410315
user_33592,1,37.0,7.965221644354674e-05
user_3593,0,173.0,0.0014166555520500508
user_4868,1,29.0,0.00012670901368643734
user_6494,2,296.0,0.0021876351298230215
user_9390,1,9.0,0.0
user_11414,2,17.0,4.0067116288218774e-05
user_19269,5,5517.0,0.22620241278386796
user_25600,2,4709.0,0.16095882945735898
user_27965,2,713.0,0.010675428931815022
user_26596,1,43.0,0.00015571621983661186
user_4139,2,35.0,0.00093531394782689
user_5870,6,81.0,0.0007189444407839411
user_14994,3,44.0,0.0005058534053281488
user_19142,7,2578.0,0.08548849432348202
user_26825,2,118.0,0.002134809902715336
user_15933,1,23.0,0.00021272771051996818
user_4136,1,26.0,4.87765233546137e-05
user_16966,3,121.0,0.0013206964593163895
user_23981,7,28.0,0.00019555974918510137
user_28381,1,4.0,0.0
user_31165,1,9.0,0.0
user_33503,1,22.0,6.526270600872083e-05
user_6229,1,11.0,6.59923511034615e-06
user_14534,2,31.0,0.00013119512092179297
user_15334,2,344.0,0.003898396587788562
user_23041,1,25.0,5.567893995799577e-06
user_29995,5,37.0,2.250925901348192e-05
user_6986,2,40.0,5.148040542919469e-05
user_19951,3,39.0,9.211219551366798e-07
user_5696,0,52.0,0.0002335844255630488
user_10831,3,43.0,3.59305554971064e-05
user_16960,1,5.0,0.0
user_17784,1,7.0,0.0
user_21024,1,2.0,0.0
user_22890,4,22.0,4.765837333426328e-05
user_28635,7,49.0,0.0004325523671379308
user_6479,3,100.0,0.00030191390078728255
user_6755,1,80.0,0.00021330657938310315
user_12991,7,184.0,0.00405317108168926
user_23587,1,182.0,0.0013489048268849383
user_21933,1,10.0,1.9835071832545872e-06
user_23591,4,162.0,0.0007605134216523141
user_25397,1,45.0,1.2127870894327388e-05
user_2960,1,9.0,0.0
user_31183,1,22.0,7.1868170321568175e-06
user_32094,4,19.0,2.898829508028217e-05
user_34274,1,7.0,0.0
user_511,1,5.0,0.0
user_1085,0,41.0,0.00018270477483294239
user_560,0,43.0,7.816649550371814e-05
user_1243,3,51.0,6.03012542863887e-05
user_19945,1,7.0,0.0
user_29612,1,7.0,0.0
user_33953,1,49.0,0.0001165148862736185
user_3649,1,15.0,0.00012467126275608946
user_16242,1,20.0,3.95301702387113e-05
user_18460,1,4.0,0.0
user_22216,3,2168.0,0.048828555839997796
user_23879,5,29.0,0.0001527828066747629
user_2757,4,295.0,0.003371991300812338
user_30246,0,88.0,0.00043461547195086154
user_4607,4,90.0,0.0006875192966539287
user_8832,1,12.0,0.0
user_10720,0,15.0,3.090601572144607e-05
user_4602,0,920.0,0.017053843043215285
user_15222,4,207.0,0.0008225983830526628
user_15230,4,869.0,0.017810285199811794
user_23999,4,226.0,0.0014198656293617307
user_30208,6,1393.0,0.04592705800958496
user_30759,0,371.0,0.00569905346221348
user_16246,6,512.0,0.004935255266905879
user_21045,3,76.0,0.00024802610873078955
user_21732,3,10.0,6.0628585534450586e-05
user_17337,1,4.0,0.0
user_2111,1,12.0,0.00011948979733237342
user_22810,1,17.0,0.00028651725098032747
user_4221,1,11.0,1.5379034195204173e-05
user_9460,1,7.0,0.0
user_12934,2,20.0,1.8042270803973277e-06
user_13278,1,2.0,0.0
user_17142,4,361.0,0.004825524645724957
user_19144,1,141.0,0.0012315335762820095
user_21208,1,30.0,0.0003315171648657576
user_25505,5,44.0,2.3112772041760046e-05
user_849,0,25.0,7.806703687778212e-05
user_12574,5,5.0,0.0
user_17704,5,70.0,0.0002637386973765116
user_24318,1,9.0,2.3235247402344197e-05
user_24381,5,212.0,0.002900447672014772
user_28395,6,84.0,0.0006783951860089275
user_28500,1,10.0,1.5294259962469377e-05
user_3612,1,10.0,0.0
user_10585,6,25.0,0.0001484965949365767
user_3321,5,14.0,0.0
user_10837,4,497.0,0.008321929775121228
user_11279,3,260.0,0.0021937271748342048
user_5126,5,8.0,0.0001588371713896508
user_6982,0,1476.0,0.04673321554976008
user_13889,1,16.0,2.8536681368958162e-05
user_19605,1,7.0,0.0
user_30304,1,13.0,9.429016246238333e-05
user_30518,3,58.0,1.8845347156810734e-05
user_9312,3,22.0,2.2742637788446103e-05
user_14749,1,10.0,8.348734549494237e-05
user_16050,1,8.0,0.0
user_17920,5,18.0,9.086599591158073e-06
user_19648,0,73.0,0.0001848882582519747
user_3786,0,272.0,0.0038775630688515673
user_6634,1,11.0,8.348734549494237e-05
user_15122,4,21.0,8.909306920213439e-06
user_18293,4,181.0,0.0008225991945965592
user_3033,0,78.0,0.0007778542240288764
user_4130,2,93.0,0.0008818907270764699
user_11864,1,10.0,0.0001445255840600551
user_15674,6,21.0,7.490088265661417e-05
user_2794,2,193.0,0.0012173027186913044
user_18774,5,719.0,0.009887563538364346
user_31304,5,191.0,0.00407347440421443
user_2044,3,37.0,0.0016892220726892283
user_23264,1,6.0,0.0
user_25268,1,22.0,6.822566517465446e-05
user_26043,2,40.0,5.8749262584123413e-05
user_30621,1,23.0,5.451381591296019e-05
user_31145,1,8.0,0.0
user_31934,1,13.0,7.562347469965331e-06
user_3399,5,9.0,2.8989231328048588e-05
user_10265,7,23.0,4.468434853162922e-06
user_19129,4,1497.0,0.030552015750460865
user_12496,1,6.0,5.8759602773093426e-05
user_31374,4,159.0,0.0025324334106242904
user_15264,2,147.0,0.0009025937154861101
user_16080,4,17.0,3.1649141494351525e-06
user_24211,7,18.0,3.95499654441255e-05
user_2551,3,17.0,0.00014568943969961543
user_31669,1,11.0,4.673519152015709e-05
user_4182,3,41.0,0.0032178801755970397
user_4584,3,157.0,0.0014692888829064192
user_13970,1,17.0,0.00025758590515094953
user_25412,1,27.0,2.2946927467612307e-05
user_14431,7,6.0,0.0
user_14952,1,10.0,1.0474952525001506e-05
user_29149,7,18.0,7.472492273975708e-05
user_31348,3,18.0,9.991632731475315e-05
user_5815,1,18.0,8.145222997258526e-06
user_10823,1,10.0,0.0
user_11224,1,4.0,0.0
user_11250,1,14.0,4.690740134400366e-06
user_1903,4,27.0,8.536236076102897e-05
user_21458,3,134.0,0.001181766167971384
user_26831,0,75.0,0.0006284573090108486
user_28403,1,8.0,0.0
user_29315,4,90.0,0.0016075706276385878
user_4980,1,24.0,0.0003462273810219576
user_10963,0,38.0,7.467896062298931e-05
user_2517,5,678.0,0.012443051899874085
user_11412,1,14.0,1.9934446001038546e-05
user_13314,0,28.0,9.849463409470936e-06
user_26151,0,125.0,0.0011845648776270343
user_33202,5,511.0,0.00799319691806425
user_13770,0,26.0,1.3559596802302566e-05
user_18213,0,88.0,0.0006054993550534039
user_19190,5,172.0,0.00036584779179145915
user_20096,0,27.0,0.0004549612737000747
user_23690,5,189.0,0.002801905703168543
user_2614,5,31.0,7.32402881019597e-05
user_2763,5,12.0,7.912741223317641e-06
user_28963,5,28.0,0.00029469573060399845
user_5343,0,83.0,0.0007308317463903005
user_5429,3,57.0,0.00013858578371377366
user_6359,2,103.0,0.0001192412059264634
user_11638,0,21.0,0.0005337150493945348
user_3082,0,346.0,0.004406021779749106
user_13801,3,38.0,0.0005371529181507276
user_20512,1,8.0,0.0
user_21585,3,533.0,0.005138382415512391
user_27781,1,15.0,8.087668240903137e-05
user_13287,1,50.0,0.0005700646426368976
user_6689,3,344.0,0.004258350532873796
user_15613,3,136.0,0.0005581740069231701
user_20047,4,500.0,0.009466571782764463
user_18040,1,27.0,4.6907043148430165e-05
user_20696,1,17.0,1.5829796359929467e-06
user_22562,6,12.0,1.0907679541743623e-05
user_34250,6,103.0,0.0005326570722656424
user_5179,6,16.0,0.00030795888001905036
user_4089,4,195.0,0.0008390804542221419
user_2134,2,222.0,0.0033027366376686767
user_33389,3,64.0,0.00047619644865370275
user_28662,6,23.0,7.022728231071657e-05
user_14570,3,252.0,0.0032110088908905514
user_17814,1,10.0,6.0068331296109674e-06
user_32179,3,396.0,0.0029542348560501835
user_731,5,32.0,6.721026759974755e-05
user_18465,1,12.0,0.0
user_23484,4,98.0,0.0003934593339361473
user_24686,1,16.0,2.0357650863342143e-05
user_3634,3,21.0,0.00015955972987426382
user_4561,1,9.0,0.0
user_24708,1,14.0,2.578617199497801e-05
user_27620,1,8.0,0.0
user_3035,1,8.0,0.0
user_30980,0,62.0,0.0039442451556382175
user_3120,5,183.0,0.0016014527268721837
user_3781,1,11.0,0.0
user_4636,4,18.0,2.957341827493599e-06
user_522,1,5.0,0.0
user_7384,4,47.0,0.00027221250452396387
user_15241,1,19.0,3.321709085703733e-05
user_15475,1,20.0,5.117809885032579e-06
user_19923,0,41.0,0.0003253321750182002
user_21816,6,19.0,5.335329968931975e-05
user_4187,5,149.0,0.0012090506153431128
user_4209,5,94.0,0.00277334512618305
user_7128,1,43.0,0.0009985776662971902
user_12213,1,16.0,4.367656718553404e-05
user_29566,6,42.0,0.0003876069921132449
user_19520,6,69.0,0.00023919811602704594
user_19259,4,50.0,3.094959824529617e-05
user_22632,1,15.0,2.050586979075556e-05
user_30622,3,24.0,1.6474570483524656e-05
user_7697,1,10.0,0.0
user_1056,1,13.0,8.408042920911757e-05
user_13002,2,200.0,0.0007123370327295561
user_19340,2,175.0,0.0006893693970503765
user_33608,4,600.0,0.009462591437758117
user_16241,2,16.0,0.00023734523777113335
user_23617,6,61.0,0.00017100946809492837
user_31668,3,12.0,0.00014007009682114114
user_8957,5,8.0,0.0
user_11866,1,35.0,0.000781681462599492
user_3145,1,12.0,1.1630318742592711e-05
user_15221,3,11.0,7.880378387410523e-05
user_1804,3,453.0,0.007912539336235857
user_16235,0,242.0,0.002448320645030173
user_21349,1,12.0,0.0
user_24001,1,5.0,0.0
user_25532,1,22.0,0.0005405789604749092
user_2752,3,507.0,0.006731332170055933
user_31269,6,21.0,1.0275217819741467e-05
user_31289,3,12.0,2.9287630810468577e-05
user_6112,3,25.0,2.2620339301568484e-05
user_19953,4,369.0,0.007574447345104904
user_25288,1,6.0,0.0
user_2726,1,76.0,8.648835273770493e-05
user_30540,1,16.0,5.8910929480967694e-05
user_32268,1,9.0,0.0
user_12568,1,7.0,0.0
user_19417,4,17.0,0.0001880097855964526
user_19609,5,77.0,0.0003555706136433979
user_23691,1,10.0,0.0
user_2891,2,200.0,0.001708952883471925
user_33947,6,123.0,0.00033493201377100097
user_3396,1,32.0,0.00010956206657607875
user_12005,1,2.0,0.0
user_19586,1,13.0,2.6125759901721913e-06
user_19596,1,10.0,0.0
user_22965,1,12.0,1.2832272975880794e-06
user_30929,1,14.0,3.10840957665869e-05
user_33541,1,4.0,0.0
user_5828,5,139.0,0.0014444260251092024
user_1485,1,17.0,5.477901646792921e-05
user_17846,4,129.0,0.0006239857908767851
user_1830,1,13.0,2.4608817500094153e-06
user_20314,4,16.0,3.1408560255516006e-05
user_27837,1,5.0,0.0
user_5091,2,43.0,2.9452290896688362e-05
user_6796,4,179.0,0.0011218451849191729
user_1654,4,53.0,0.0005900551561193483
user_1821,4,44.0,0.00020156690277571142
user_27578,1,8.0,0.0
user_4979,4,45.0,1.2933264729691329e-05
user_12946,1,15.0,4.918130258526601e-05
user_13552,0,604.0,0.008623514996203232
user_5401,5,19.0,4.419039294319779e-06
user_21245,1,10.0,0.0
user_24488,1,21.0,0.00021348905649377721
user_10406,5,16.0,0.0
user_19187,5,49.0,0.0016872062957748878
user_12625,6,20.0,1.5277171574344319e-06
user_32948,4,112.0,0.0009806918253290884
user_12925,1,3.0,0.0
user_15704,1,26.0,2.8571039331698117e-05
user_15937,4,16.0,4.2698217518762005e-05
user_17724,1,43.0,0.00013584303856062468
user_19776,0,1155.0,0.016949535413879002
user_26691,1,119.0,0.0009396687191065543
user_26728,1,21.0,0.0001340184286867587
user_33970,5,115.0,0.0015845604983794838
user_4912,0,17.0,0.00011160488269841085
user_5268,1,8.0,0.0
user_6536,1,13.0,0.0
user_10405,0,9.0,3.9158143711263446e-07
user_19518,4,779.0,0.011429949030986602
user_12228,3,90.0,0.000528340865427979
user_26997,3,29.0,1.438774563614145e-05
user_13609,1,21.0,4.1675226322848846e-05
user_32799,1,19.0,0.00019180528625329003
user_23256,5,66.0,0.0002554593918115193
user_25034,1,12.0,0.0
user_5552,1,8.0,0.0
user_7192,0,33.0,7.750022977982162e-05
user_9414,1,21.0,3.522798423382302e-05
user_14001,1,15.0,1.6091260364708826e-05
user_17443,4,103.0,0.0021774220346598276
user_4934,1,41.0,0.0006508768586406187
user_16233,1,11.0,2.0644621216307864e-05
user_17778,4,8.0,0.0
user_19886,1,6.0,0.0
user_21814,1,11.0,0.0
user_28997,7,8.0,0.00019477802178973457
user_33524,7,9.0,0.0
user_16498,0,24.0,0.00011978340260648872
user_17845,0,111.0,0.0009999659239210003
user_19012,4,803.0,0.016250507940467195
user_19373,1,21.0,4.402485129722031e-05
