user_id,num_posts,tickers
user_11411,2,BUZZ|TWITH
user_1437,2,VRPX|VZ
user_4868,12,ARWR|ATEN|BB|FBGET|FUBOI|LANC|NIOAL|OCLG|PARAS|PG|PSFE|SHOPF|SLI|SMH|STHE|UAL|VOOAD
user_4627,3,CINF|PLAB|RGS|VTRS
user_11414,4,EPD|FBREB|HEI|IBM|LVMH|NFG|OPCH|WOLFA
user_26750,1,SQHOP
user_19951,12,AAPLN|BTCUS|COSTQ|CROX|DISHB|ENJY|FINV|KOAUG|LIDR|MCO|MSFTO|MTTR|NOVA|PCTC|PPSI|SAP|SYK|T|ZIONT
user_34274,4,AAPLA|EXPRE|HPE|SPPI|XOMDI
user_1243,12,AAPLH|ALPP|AMDWH|ARKG|BATT|BTUSO|COSTC|FICO|FLOK|NKLA|NNOXI|PLD|SKLZ|SOL|STUDY|THC|ULVR|XBI|ZSCHA
user_11652,3,MKC|SHOPR|STAGW|VNOM|ZTO
user_26020,1,SI
user_2757,46,AB|ABCB|ADV|AGC|AMZNL|AMZNR|ARWR|ASX|AUR|AZERO|AZPN|BABAC|BABAW|BAT|BAYC|BMY|BOC|CEEK|CHGG|CLBT|CNC|CPG|CSOUR|DKNGZ|DLNG|DRIO|DRTS|ENSV|FAANG|FBINN|FMX|FSK|GMPW|GOOGN|HYRE|INAZ|IWM|KDNY|KO|KTB|LMTUT|NFLXN|NNOX|NVDAN|OTRK|PAYC|PI|PTONR|PYPLB|REM|SAVG|SBUXW|SCTY|SEDGD|SHPH|SPLV|SPYBU|STM|SYA|TOELY|TWTRA|URNM|USBSO|VO|VSCO|VWED|WDAY|YELP
user_22743,1,XOMDO
user_4566,1,MMMGE
user_22810,6,ARKW|COSTH|FBCOM|HUT|HYRE|KXA|MOMO|TDOCH|XPE
user_22048,2,ACON|SMIC|VORBH
user_13408,3,FBGET|NOC|OSMO|SHIBD
user_17142,57,AFI|AKZOY|AMDTH|AMZNM|APPH|APPS|ATUS|BABEA|BAMSO|BOKF|BTCBR|CAR|CARR|CCMP|CDLR|CME|COINH|COINP|CPNGC|CSPON|DCFC|DHR|DISFI|DOCNS|DOW|ETHIN|EXEL|FSR|G|GOOGM|GTBIF|IFNNY|ILV|INDO|IQ|IVC|JNPR|KONE|KOPN|LLY|LNN|LTNC|MAFAC|MPSOL|MSFTO|MSIND|OFG|OVR|PANWB|PARA|PGPAS|PRTS|PRVA|PSNY|PSTG|QFIN|ROKUD|ROSE|SAIA|SAIL|SHEL|SKLZ|SMIC|SPX|SPXWI|STNE|SWPPX|TSLAH|TSLAO|UAL|UAVS|UBI|UPSTE|USFD|VALEC|VNOMW|VYGR|WNW|XLV|ZINU
user_10144,1,MFC
user_30304,5,ACI|BABAU|CCL|CPNGC|FBSPE|IWMKE|KWEB|RIO
user_17920,5,BAALL|BSMFA|JD|MFC|RIVN|STORD|THMO|URBN|VRAWH
user_5445,2,AMZN|NETA
user_11864,4,BX|DIDI|JBLUC|ODFL|TGTDO|ZINU
user_17570,1,NN
user_34224,1,UPSTD
user_31374,32,AAP|AEMD|ALEC|ALL|ALT|AMDBR|AURY|BODYN|BTCUS|CLH|CLVS|CWH|CXW|FBHTT|FBUSE|FIVEY|GMMOR|HDHEA|HRL|IBKR|INTUO|KLIC|KSPI|LIDR|MATIC|MDVL|MGA|MNG|MOB|MZN|NETL|NUEDG|NVDAH|PD|QFIN|QQQSO|RDFNW|RDIB|SHIP|SUSHI|TJX|TWTR|VB|VOO|ZIM|ZMBEA|ZSCHA
user_26831,14,ACNDA|APPN|ARKG|AWS|BIDU|FAF|HCA|HOOD|HYZN|ITW|MGNI|MIOTA|MODIV|MRTN|NDAQ|SYR|TEL|UNA|XPE|ZBRA
user_26825,25,ACNDA|AKRO|AMTMA|ASTS|AVT|AXTA|BABAE|BILI|BLK|BPRM|BRQS|CAJ|CDAY|CEEK|ENR|HOLD|HYPRO|JPM|MSGE|MUDAV|MYNZ|NOV|NWN|OPCH|OSTK|REALM|RYANH|SBNY|SFINT|SNAPT|SQHOP|SSEMI|STRR|TM|TREE|VUZI|W
user_2878,1,OGI
user_24675,2,DKNGH|JOBY|SQAT|THMO
user_26420,1,RAYVR
user_28765,1,BNS|VRSN
user_3035,4,APAM|CCMP|ETH|JACK|KYNC|TQQQ
user_21945,3,AWR|MVVYF|SPOT|SPOTR
user_31162,3,COSTB|GLW|OTECH|TSLAW
user_13071,2,FXY|KLIC|YETIF
user_12761,2,CRLBF|DISHU|PH
user_11120,1,CE
user_9574,3,COSTW|DOGEZ|ILPT|MSIND|TSMPE
user_3318,1,LMNOP|SOLO
user_25532,6,CRWDT|EVVTY|GMMOR|GMPW|JBLU|NILE|NOW|SIRI|TTDGE|WAVE
user_28008,1,LCI|MAS
user_2909,1,IREN|TIGR
user_25448,2,CNBS|NOC
user_23691,6,KCAL|MSFT|NIOBU|ORPH|PYPLA|ROKUH|SOX|UPSTI
user_4804,3,BBY|BZFD|ENDP|NFLX
user_12005,4,CRM|DIS|LIN|WE
user_12549,2,FTCH|SYYSO|XPENG
user_20914,1,NIO|WCLD
user_3700,1,NFLXD
user_191,1,LNG
user_27837,4,NURO|RDSA|TREE|VOW|ZSDAT
user_6151,1,LNTH
user_27578,4,CATLO|CNSWF|FBWIL|GMETH|GOOGH|PDD|TDOCH|TXTM
user_25982,1,FUBO
user_10406,6,BITOI|BZUN|DDOG|DISHB|FBTHE|IDEX|OLPX|RICK|SJT
user_29528,1,DOCNS
user_33524,4,CYN|ENPHG|PKG|SCHD|SCVL|SFIO|VNOM
user_1804,61,AAVE|AEHR|AMD|AMDLE|AMX|ARKW|ARRK|ASANF|ATTO|BANA|BBBY|BITF|BMYHI|BNSO|BOND|BRCC|CHEF|CMI|CRMDE|CTVA|CVE|CYTK|DGX|DHI|ETHE|FBH|FBREC|FCFS|FIVN|FNKO|FOX|GDXJ|GEF|GFAI|GMLI|GNENF|HBAN|HCCI|HTTZ|JBLU|LITER|LLYSH|LOGI|MCDEU|MDVL|MKLBO|MNDY|MRKFR|MRVLP|MSFTP|MSI|MTTR|MVRD|MX|MYOV|NAKD|NCNO|NFLXE|NIOTH|NLSN|OAS|OXY|PAG|PHRRF|PLTZ|QFOR|QS|RDFN|ROKUE|ROP|RTY|SCS|SDC|SHY|SIMO|SMSN|SPOTE|SPPI|STNG|SYFDI|THSET|TIVC|TLO|TLTHT|TME|TSLL|TWOU|TYX|UDMY|VNOBL|VTI|VXN|ZIDEF|ZSHTT
user_13332,1,GE
user_18173,3,BITO|EPIK|PYPL|SAITA
user_31533,1,CYRN|DUK
user_22745,3,AGG|MTDR|STORB|WWE
user_23266,5,AABB|CCATE|GPC|MDBWA|PLD|SPGI|TONR
user_14445,2,HX|LIB|SXTAN
user_27422,1,ARCCA|XPENG
user_6796,29,APTY|ARVL|ASTR|ATYI|AUR|CBSTR|CRSP|CVNAF|CYBR|DISWO|DRTS|FET|HII|ILMN|IZRL|LIHTT|LSI|LVSTH|MIMO|MKLBO|MPWR|MRNA|MSFTH|NCNO|NXGN|ODFL|OLN|PKI|PLAY|QCOMW|RA|RDSA|RGEN|SFIO|SKLZF|SPOTR|TROWW|TTDMA|UPWKT|UPWKW|UVIA|VVERI|WBAST|WELT
user_29852,2,HCM|ZS
user_22609,16,AI|AMDTH|AMZNH|CAJ|DKNGC|EAR|EUFN|EWT|FISVB|GANG|HTZZ|MELIF|OSH|PRTY|QBTS|RVPH|SBUXB|STRON|TSLQ|TSM|XBI
user_31968,2,GLD|INTC
